"","Question","Min","Max","Mean","SD","Count","Story"
"1","How Creative is this story?","20","94","68.33","34.2","3","A1"
"2","How Original is this story?","19","87","50.67","27.96","3","A1"
"3","How Clever is this story?","20","51","34.33","12.76","3","A1"
"4","How Imaginative is this story?","20","98","70","35.44","3","A1"
"5","How Captivating is this story?","19","72","44","21.74","3","A1"
"6","How Humorous is this story?","20","79","56.67","26.13","3","A1"
"7","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","8","60","39.67","22.69","3","A1"
"8","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","50","89","67","16.31","3","A1"
"9","How Creative is this story?","57","63","60.67","2.62","3","A2"
"10","How Original is this story?","27","73","53.67","19.48","3","A2"
"11","How Clever is this story?","42","61","48.67","8.73","3","A2"
"12","How Imaginative is this story?","40","89","63.67","20.04","3","A2"
"13","How Captivating is this story?","59","67","62","3.56","3","A2"
"14","How Humorous is this story?","19","62","39.67","17.59","3","A2"
"15","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","41","51","47.67","4.71","3","A2"
"16","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","35","52","45.67","7.59","3","A2"
"17","How Creative is this story?","0","7","2.67","3.09","3","A3"
"18","How Original is this story?","1","10","5.67","3.68","3","A3"
"19","How Clever is this story?","0","18","12","8.49","3","A3"
"20","How Imaginative is this story?","0","7","2.67","3.09","3","A3"
"21","How Captivating is this story?","0","11","4","4.97","3","A3"
"22","How Humorous is this story?","0","8","3","3.56","3","A3"
"23","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","14","51","38","16.99","3","A3"
"24","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","33","50","44","7.79","3","A3"
"25","How Creative is this story?","0","92","56","40.13","3","A4"
"26","How Original is this story?","0","100","65","46.01","3","A4"
"27","How Clever is this story?","0","94","52.67","39.2","3","A4"
"28","How Imaginative is this story?","0","92","61.33","43.37","3","A4"
"29","How Captivating is this story?","0","93","42.33","38.42","3","A4"
"30","How Humorous is this story?","0","49","21","20.61","3","A4"
"31","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","92","48.33","37.24","3","A4"
"32","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","92","48","37.21","3","A4"
"33","How Creative is this story?","0","100","37.33","44.58","3","A5"
"34","How Original is this story?","0","82","30.67","36.53","3","A5"
"35","How Clever is this story?","0","53","20.67","23.16","3","A5"
"36","How Imaginative is this story?","0","100","37.33","44.58","3","A5"
"37","How Captivating is this story?","0","27","12","11.22","3","A5"
"38","How Humorous is this story?","0","77","29.33","34","3","A5"
"39","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","47","19.33","19.91","3","A5"
"40","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","46","19","19.44","3","A5"
"41","How Creative is this story?","11","21","15.67","4.11","3","A6"
"42","How Original is this story?","11","21","17","4.32","3","A6"
"43","How Clever is this story?","1","32","13.33","13.42","3","A6"
"44","How Imaginative is this story?","1","31","12.67","13.12","3","A6"
"45","How Captivating is this story?","1","10","6.33","3.86","3","A6"
"46","How Humorous is this story?","1","10","6","3.74","3","A6"
"47","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","32","18.67","13.02","3","A6"
"48","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","34","17","13.49","3","A6"
"49","How Creative is this story?","0","44","16","17.85","4","A7"
"50","How Original is this story?","0","57","27.25","26.38","4","A7"
"51","How Clever is this story?","0","53","22.75","22.96","4","A7"
"52","How Imaginative is this story?","0","46","19","17.92","4","A7"
"53","How Captivating is this story?","0","39","16.75","15.16","4","A7"
"54","How Humorous is this story?","0","73","36.75","36.25","4","A7"
"55","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","17","85","45.25","25.81","4","A7"
"56","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","2","56","28.75","23.97","4","A7"
"57","How Creative is this story?","18","73","40","23.76","3","A8"
"58","How Original is this story?","0","68","28","29.03","3","A8"
"59","How Clever is this story?","0","17","5.67","8.01","3","A8"
"60","How Imaginative is this story?","28","66","52.33","17.25","3","A8"
"61","How Captivating is this story?","0","19","6.67","8.73","3","A8"
"62","How Humorous is this story?","0","5","2","2.16","3","A8"
"63","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","21","10","8.29","3","A8"
"64","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","19","9.67","7.36","3","A8"
"65","How Creative is this story?","24","79","46.67","23.47","3","A9"
"66","How Original is this story?","37","100","75.67","27.64","3","A9"
"67","How Clever is this story?","19","72","38","24.1","3","A9"
"68","How Imaginative is this story?","10","74","45","26.47","3","A9"
"69","How Captivating is this story?","5","38","17.33","14.7","3","A9"
"70","How Humorous is this story?","4","99","42.67","40.75","3","A9"
"71","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","14","72","39","24.34","3","A9"
"72","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","2","65","26.67","27.48","3","A9"
"73","How Creative is this story?","1","17","7.33","6.94","3","A10"
"74","How Original is this story?","1","16","7.33","6.34","3","A10"
"75","How Clever is this story?","0","3","1.33","1.25","3","A10"
"76","How Imaginative is this story?","1","18","8","7.26","3","A10"
"77","How Captivating is this story?","0","5","2","2.16","3","A10"
"78","How Humorous is this story?","0","5","2","2.16","3","A10"
"79","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","9","6","3.56","3","A10"
"80","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","4","16","8.67","5.25","3","A10"
"81","How Creative is this story?","2","42","27.67","18.19","3","A11"
"82","How Original is this story?","18","52","39.33","15.17","3","A11"
"83","How Clever is this story?","1","54","25.33","21.85","3","A11"
"84","How Imaginative is this story?","1","37","18.67","14.7","3","A11"
"85","How Captivating is this story?","1","54","23.33","22.43","3","A11"
"86","How Humorous is this story?","1","36","22","15.12","3","A11"
"87","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","54","20.67","23.7","3","A11"
"88","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","60","24.67","25.46","3","A11"
"89","How Creative is this story?","19","29","22.67","4.5","3","A12"
"90","How Original is this story?","19","29","22.67","4.5","3","A12"
"91","How Clever is this story?","8","20","15.33","5.25","3","A12"
"92","How Imaginative is this story?","8","51","25.67","18.37","3","A12"
"93","How Captivating is this story?","15","40","24.33","11.15","3","A12"
"94","How Humorous is this story?","7","41","19.67","15.17","3","A12"
"95","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","18","31","23.33","5.56","3","A12"
"96","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","17","31","22.33","6.18","3","A12"
"97","How Creative is this story?","2","76","31.33","32.1","3","A13"
"98","How Original is this story?","12","93","62","35.69","3","A13"
"99","How Clever is this story?","3","24","10.67","9.46","3","A13"
"100","How Imaginative is this story?","3","63","23.67","27.82","3","A13"
"101","How Captivating is this story?","2","41","15.33","18.15","3","A13"
"102","How Humorous is this story?","3","81","29","36.77","3","A13"
"103","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","49","26.67","19.74","3","A13"
"104","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","2","57","29.67","22.45","3","A13"
"105","How Creative is this story?","1","35","18","17","2","A16"
"106","How Original is this story?","1","42","21.5","20.5","2","A16"
"107","How Clever is this story?","1","13","7","6","2","A16"
"108","How Imaginative is this story?","0","50","25","25","2","A16"
"109","How Captivating is this story?","1","43","22","21","2","A16"
"110","How Humorous is this story?","0","19","9.5","9.5","2","A16"
"111","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","27","14","13","2","A16"
"112","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","15","8","7","2","A16"
"113","How Creative is this story?","3","26","14.5","11.5","2","A17"
"114","How Original is this story?","3","29","16","13","2","A17"
